layer	source	target 	value
exergy	gly_in	factory    44.14
exergy	fresh_milk	factory	0.40
exergy	steam_in	factory	52.67
exergy	thickner	factory	1.59
exergy	factory	milk	1.30
exergy	factory	cream	0.06
exergy	factory	past1_loss	44.1
exergy	factory	past2_loss	3.7
exergy	factory	past3_loss	37.5
exergy	factory	past4_loss	32.9
exergy	factory	past5_loss	1.64
exergy	factory	past6_loss	115.5
exergy	factory	past7_loss	77.7
exergy	factory	refr_loss	38.8
exergy	factory	refr_mixer	2.12
exergy	factory	steam_out	0.09
exergy	factory	gly_out	0.09

oxygen	water_SMR	refinery_oxygen	0.65
oxygen	air	refinery_oxygen	2.84
sulfur	crude	refinery_sulfur	0.18
carbon	refinery_carbon	naphtha	5.24
carbon	refinery_carbon	LPG	1.11
carbon	refinery_carbon	coke	0.17
carbon	refinery_carbon	diesel	13.58
carbon	refinery_carbon	gasoline	5.38
carbon	refinery_carbon	heavyfuel	2.69
carbon	refinery_carbon	kerosene	0.11
carbon	refinery_carbon	CO2_SMR	0.37
carbon	refinery_carbon	CO2_combustion	0.71
hydrogen	refinery_hydrogen	naphtha	10.05
hydrogen	refinery_hydrogen	LPG	2.86
hydrogen	refinery_hydrogen	coke	0.09
hydrogen	refinery_hydrogen	diesel	24.72
hydrogen	refinery_hydrogen	gasoline	10.32
hydrogen	refinery_hydrogen	heavyfuel	3.97
hydrogen	refinery_hydrogen	kerosene	0.21
hydrogen	refinery_hydrogen	H2S	0.34
hydrogen	refinery_hydrogen	NH3	0.15
hydrogen	refinery_hydrogen	water_boiler	2.84
nitrogen	refinery_nitrogen	coke	0.00
nitrogen	refinery_nitrogen	heavyfuel	0.01
nitrogen	refinery_nitrogen	NH3	0.05
oxygen	refinery_oxygen	CO2_SMR	0.74
oxygen	refinery_oxygen	CO2_combustion	2.84
sulfur	refinery_sulfur	coke	0.01
sulfur	refinery_sulfur	heavyfuel	0.01
sulfur	refinery_sulfur	H2S	0.17
