Datum,Preis_Boerse_indexiert
2019-01-02,186
2019-01-03,184
2019-01-04,190
2019-01-07,178
2019-01-08,183
2019-01-09,180
2019-01-10,180
2019-01-11,184
2019-01-14,179
2019-01-15,182
2019-01-16,182
2019-01-17,190
2019-01-18,187
2019-01-21,180
2019-01-22,181
2019-01-23,184
2019-01-24,177
2019-01-25,173
2019-01-28,170
2019-01-29,170
2019-01-30,167
2019-01-31,167
2019-02-01,160
2019-02-04,160
2019-02-05,159
2019-02-06,157
2019-02-07,157
2019-02-08,151
2019-02-11,150
2019-02-12,147
2019-02-13,149
2019-02-14,147
2019-02-15,150
2019-02-18,144
2019-02-19,146
2019-02-20,150
2019-02-21,145
2019-02-22,143
2019-02-25,141
2019-02-26,141
2019-02-27,146
2019-02-28,146
2019-03-01,144
2019-03-04,144
2019-03-05,142
2019-03-06,140
2019-03-07,139
2019-03-08,140
2019-03-11,137
2019-03-12,134
2019-03-13,130
2019-03-14,129
2019-03-15,126
2019-03-18,124
2019-03-19,124
2019-03-20,126
2019-03-21,121
2019-03-22,120
2019-03-25,118
2019-03-26,119
2019-03-27,124
2019-03-28,119
2019-03-29,119
2019-04-01,115
2019-04-02,112
2019-04-03,117
2019-04-04,123
2019-04-05,137
2019-04-08,132
2019-04-09,138
2019-04-10,130
2019-04-11,132
2019-04-12,131
2019-04-15,124
2019-04-16,123
2019-04-17,126
2019-04-18,120
2019-04-23,119
2019-04-24,118
2019-04-25,121
2019-04-26,119
2019-04-29,120
2019-04-30,120
2019-05-02,119
2019-05-03,121
2019-05-07,117
2019-05-08,119
2019-05-09,120
2019-05-10,116
2019-05-13,114
2019-05-14,114
2019-05-15,115
2019-05-16,111
2019-05-17,107
2019-05-20,107
2019-05-21,105
2019-05-22,105
2019-05-23,104
2019-05-24,101
2019-05-28,103
2019-05-29,101
2019-05-30,99
2019-05-31,99
2019-06-03,92
2019-06-04,99
2019-06-05,96
2019-06-06,92
2019-06-07,95
2019-06-10,98
2019-06-11,93
2019-06-12,93
2019-06-13,94
2019-06-14,94
2019-06-17,96
2019-06-18,92
2019-06-19,87
2019-06-20,84
2019-06-21,86
2019-06-24,84
2019-06-25,82
2019-06-26,80
2019-06-27,78
2019-06-28,78
2019-07-01,86
2019-07-02,85
2019-07-03,85
2019-07-04,87
2019-07-05,93
2019-07-08,99
2019-07-09,97
2019-07-10,100
2019-07-11,108
2019-07-12,110
2019-07-15,107
2019-07-16,95
2019-07-17,91
2019-07-18,89
2019-07-19,90
2019-07-22,84
2019-07-23,89
2019-07-24,83
2019-07-25,84
2019-07-26,83
2019-07-29,81
2019-07-30,81
2019-07-31,81
2019-08-01,102
2019-08-02,99
2019-08-05,95
2019-08-06,91
2019-08-07,94
2019-08-08,100
2019-08-09,99
2019-08-12,95
2019-08-13,98
2019-08-14,93
2019-08-15,93
2019-08-16,91
2019-08-19,89
2019-08-20,93
2019-08-21,95
2019-08-22,91
2019-08-23,88
2019-08-27,83
2019-08-28,85
2019-08-29,89
2019-08-30,89
2019-09-02,98
2019-09-03,100
2019-09-04,98
2019-09-05,101
2019-09-06,102
2019-09-09,101
2019-09-10,120
2019-09-11,121
2019-09-12,120
2019-09-13,123
2019-09-16,126
2019-09-17,112
2019-09-18,104
2019-09-19,104
2019-09-20,105
2019-09-23,101
2019-09-24,103
2019-09-25,99
2019-09-26,100
2019-09-27,98
2019-09-30,98
2019-10-01,139
2019-10-02,132
2019-10-03,132
2019-10-04,131
2019-10-07,128
2019-10-08,129
2019-10-09,129
2019-10-10,131
2019-10-11,133
2019-10-14,133
2019-10-15,133
2019-10-16,133
2019-10-17,133
2019-10-18,132
2019-10-21,129
2019-10-22,129
2019-10-23,128
2019-10-24,130
2019-10-25,126
2019-10-28,119
2019-10-29,115
2019-10-30,114
2019-10-31,114
2019-11-01,134
2019-11-04,136
2019-11-05,139
2019-11-06,135
2019-11-07,134
2019-11-08,132
2019-11-11,131
2019-11-12,129
2019-11-13,128
2019-11-14,129
2019-11-15,130
2019-11-18,126
2019-11-19,127
2019-11-20,129
2019-11-21,129
2019-11-22,133
2019-11-25,135
2019-11-26,131
2019-11-27,132
2019-11-28,129
2019-11-29,129
2019-12-02,131
2019-12-03,131
2019-12-04,131
2019-12-05,128
2019-12-06,125
2019-12-09,123
2019-12-10,120
2019-12-11,116
2019-12-12,122
2019-12-13,114
2019-12-16,115
2019-12-17,120
2019-12-18,123
2019-12-19,124
2019-12-20,118
2019-12-23,108
2019-12-24,105
2019-12-27,106
2019-12-30,103
2019-12-31,103
2020-01-02,100
2020-01-03,107
2020-01-06,102
2020-01-07,99
2020-01-08,99
2020-01-09,101
2020-01-10,99
2020-01-13,100
2020-01-14,93
2020-01-15,93
2020-01-16,92
2020-01-17,90
2020-01-20,88
2020-01-21,89
2020-01-22,87
2020-01-23,86
2020-01-24,87
2020-01-27,87
