;Variable;Value
0;Q_refrigeration;60.416
1;Q_past1;1691.648
2;Q_past2;142.88
3;Q_past3;285.76
4;Q_past4;480.12800000000044
5;Q_past5;16.344426439950947
6;Q_past6;16.643399999999918
7;Q_past7;124.40440000000011
8;T_a;24.850000000000023
9;T_fmilk;6.0
10;T_mixure_out;4.0
11;T_past_cent;60.0
12;T_milk_0;60.0
13;T_cream_0;60.0
14;T_past_a;65.0
15;T_past_b;75.0
16;T_past_c;80.0
17;T_past_d;20.801791713325883
18;T_milk;4.0
19;T_crpast_a;65.01501225490199
20;T_thick;4.0
21;T_crpast_x;64.83236605779223
22;T_crpast_b;75.0
23;T_crpast_c;80.0
24;T_cream;4.0
25;m_fmilk;8.0
26;m_milk;7.52
27;m_cream;0.55
28;m_int;0.4800000000000004
29;m_thick;0.07
30;m_gly_ref;3.0982564102564103
31;m_steam_past3;28.63326653306613
32;m_gly_past4;24.62194871794874
33;m_steam_past6;1.6676753507013946
34;m_gly_past7;6.379712820512826
35;Cp_alboline;70.0
36;Cp_raw_milk;3800.0
37;Cp_cream;3400.0
38;Cp_glywater;3900.0
39;Cp_steam;1996.0
40;Cp_fmilk;3776.0
41;Cp_cream_mixed;2976.1818181818207
